respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.2,0.17
26708,0.05,0.05
26709,0.45,0.71
26710,0.58,0.76
26711,0.25,0.46
26712,0.53,0.73
26713,0.68,0.52
26714,0.27,0.19
26715,0.22,0.16
26716,0.16,0.62
26717,0.19,0.47
26718,0.34,0.66
26719,0.17,0.82
26720,0.08,0.27
26721,0.48,0.71
26722,0.17,0.26
26723,0.59,0.81
26724,0.23,0.75
26725,0.2,0.26
26726,0.23,0.11
26727,0.32,0.66
26728,0.32,0.39
26729,0.28,0.31
26730,0.25,0.2
26731,0.13,0.31
26732,0.13,0.19
26733,0.79,0.9
26734,0.57,0.39
26735,0.2,0.45
26736,0.12,0.13
26737,0.15,0.17
26738,0.63,0.68
26739,0.2,0.2
26740,0.25,0.19
26741,0.23,0.74
26742,0.22,0.49
26743,0.12,0.45
26744,0.11,0.6
26745,0.25,0.7
26746,0.24,0.35
26747,0.25,0.25
26748,0.19,0.18
26749,0.13,0.67
26750,0.69,0.81
26751,0.45,0.73
26752,0.22,0.2
26753,0.15,0.21
26754,0.2,0.38
26755,0.16,0.29
26756,0.11,0.16
26757,0.54,0.66
26758,0.56,0.72
26759,0.19,0.28
26760,0.18,0.14
26761,0.34,0.52
26762,0.26,0.8
26763,0.66,0.8
26764,0.73,0.87
26765,0.27,0.54
26766,0.21,0.18
26767,0.74,0.64
26768,0.08,0.38
26769,0.13,0.31
26770,0.37,0.5
26771,0.14,0.33
26772,0.13,0.43
26773,0.15,0.44
26774,0.16,0.45
26775,0.29,0.55
26776,0.52,0.52
26777,0.25,0.7
26778,0.18,0.14
26779,0.17,0.49
26780,0.23,0.84
26781,0.25,0.38
26782,0.22,0.35
26783,0.29,0.27
26784,0.48,0.73
26785,0.35,0.53
26786,0.21,0.2
26787,0.33,0.54
26788,0.19,0.88
26789,0.08,0.27
26790,0.22,0.31
26791,0.16,0.21
26792,0.23,0.65
26793,0.2,0.9
26794,0.74,0.79
26795,0.18,0.72
26796,0.09,0.05
26797,0.27,0.55
26798,0.4,0.28
26799,0.39,0.43
26800,0.12,0.74
26801,0.21,0.39
26802,0.13,0.24
26803,0.11,0.13
26804,0.21,0.13
26805,0.2,0.29
26806,0.16,0.87
26807,0.55,0.8
26808,0.26,0.49
26809,0.42,0.3
26810,0.14,0.14
26811,0.13,0.14
26812,0.19,0.69
26813,0.43,0.5
26814,0.3,0.61
26815,0.12,0.07
26816,0.16,0.3
26817,0.25,0.62
26818,0.15,0.3
26819,0.22,0.32
26820,0.25,0.32
26821,0.21,0.63
26822,0.27,0.67
26823,0.31,0.47
26824,0.21,0.6
26825,0.51,0.57
26826,0.24,0.6
26827,0.21,0.25
26828,0.26,0.29
26829,0.6,0.78
26830,0.14,0.65
26831,0.32,0.75
26832,0.14,0.76
26833,0.18,0.49
26834,0.36,0.64
26835,0.54,0.81
26836,0.22,0.62
26837,0.16,0.13
26838,0.27,0.36
26839,0.33,0.33
26840,0.15,0.25
26841,0.51,0.71
26842,0.1,0.24
26843,0.19,0.09
26844,0.16,0.44
26845,0.19,0.71
26846,0.14,0.7
26847,0.4,0.24
26848,0.09,0.58
26849,0.33,0.49
26850,0.62,0.63
26851,0.08,0.06
26852,0.09,0.05
26853,0.38,0.5
26854,0.08,0.11
26855,0.58,0.78
26856,0.3,0.22
26857,0.33,0.33
26858,0.24,0.47
26859,0.17,0.23
26860,0.24,0.28
26861,0.26,0.19
26862,0.22,0.46
26863,0.27,0.43
26864,0.44,0.47
26865,0.08,0.13
26866,0.27,0.47
26867,0.18,0.17
26868,0.75,0.7
26869,0.19,0.35
26870,0.5,0.79
26871,0.14,0.15
26872,0.3,0.29
26873,0.24,0.69
26874,0.13,0.21
26875,0.57,0.74
26876,0.21,0.18
26877,0.22,0.17
26878,0.28,0.37
26879,0.07,0.18
26880,0.2,0.16
26881,0.15,0.15
26882,0.12,0.09
26883,0.23,0.27
26884,0.21,0.21
26885,0.39,0.72
26886,0.27,0.81
26887,0.65,0.74
26888,0.83,0.91
26889,0.1,0.13
26890,0.27,0.51
26891,0.45,0.69
26892,0.19,0.51
26893,0.19,0.07
26894,0.24,0.36
26895,0.12,0.7
26896,0.07,0.04
26897,0.15,0.46
26898,0.34,0.47
26899,0.2,0.14
26900,0.09,0.33
26901,0.21,0.49
26902,0.26,0.83
26903,0.29,0.18
26904,0.25,0.26
26905,0.42,0.84
26906,0.27,0.42
26907,0.17,0.6
26908,0.25,0.69
26909,0.22,0.2
26910,0.22,0.41
26911,0.13,0.2
26912,0.58,0.66
26913,0.79,0.7
26914,0.3,0.29
26915,0.47,0.55
26916,0.31,0.48
26917,0.14,0.22
26918,0.83,0.94
26919,0.31,0.49
26920,0.1,0.22
26921,0.18,0.71
26922,0.08,0.74
26923,0.2,0.6
26924,0.86,0.87
26925,0.16,0.72
26926,0.39,0.59
26927,0.32,0.38
26928,0.18,0.48
26929,0.16,0.19
26930,0.62,0.62
26931,0.42,0.64
26932,0.11,0.81
26933,0.24,0.64
26934,0.51,0.76
26935,0.27,0.42
26936,0.34,0.29
26937,0.3,0.83
26938,0.14,0.14
26939,0.12,0.11
26940,0.16,0.17
26941,0.16,0.43
26942,0.51,0.82
26943,0.36,0.7
26944,0.12,0.19
26945,0.36,0.54
26946,0.43,0.58
26947,0.37,0.43
26948,0.12,0.11
26949,0.08,0.11
26950,0.12,0.45
26951,0.3,0.29
26952,0.75,0.81
26953,0.76,0.79
26954,0.28,0.19
26955,0.19,0.57
26956,0.27,0.29
26957,0.12,0.75
26958,0.3,0.56
26959,0.19,0.21
26960,0.11,0.15
26961,0.39,0.4
26962,0.28,0.81
26963,0.15,0.47
26964,0.26,0.26
26965,0.83,0.85
26966,0.14,0.18
26967,0.35,0.21
26968,0.13,0.71
26969,0.36,0.33
26970,0.55,0.49
26971,0.3,0.3
26972,0.08,0.09
26973,0.21,0.1
26974,0.22,0.23
